Gender,Above 21,Age,Visit Frequency,Location,Trait: Social person,Trait: Active lifestyle,Trait: Drink quality important,Trait: Like finding new things,Taproom Features,Rank: Drink selection,Rank: Ability to do other things aside from drink,Rank: Social interactions with other customers,Rank: Casual conversations with employees,Rank: Price,Rank: Networking with other professionals,Rank: Earning loyalty rewards,Rank: Location,Hesitations,Interaction Factors,Ideal Features,Primary Reason,Consistency Importance,Experience: Themed events,Experience: Social activities,Experience: Community events,Experience: Interactive experiences,Experience: Unique events,Experience: Consistent environment,Community Focus,Return Factor,Live Music Interest,Positive Music Elements,Snack Importance,Snack Order Frequency,Snack Stay Longer,Snack Type Preference,Pairing Interest,AI Consultation,AI Trust,AI Assistant Interest,AI Valuable Features,Segment,Live Music Rating,Negative Music Factors,Preventing Reasons,AI Satisfaction
Male,Yes,58,At least once a week,Less than 10 minutes away,3,3,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,2,3,4,6,5,7,8,"['Poor customer service', 'No food']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Group activities to do with others present']","['Games available', 'Live music', 'Happy hour specials', 'Large TV screens for sports games']",To relax and unwind,Somewhat important – I like a balance of new and familiar elements,4,4,2,4,4,1,"No, I attend for other reasons",Offer a wider selection of craft beers,"Yes, I haven't attended yet but I'm interested.","['Being a fan of the band or specific artists performing', 'Social experience and opportunity to meet new people', 'Social experience and opportunity to meet new people', 'Quality of live music performances']",Not at all important,Rarely,Neutral,"['Cold Bites', 'Pre-packaged Snacks']",Yes,Yes,A little,Very interested,History and background of the brewery,Affluent Locals,,,,Hated it
Female,Yes,60,At least once a month,Less than 10 minutes away,4,3,3,4,"['Card games', 'Karaoke available', 'Darts', 'Easy to socialize with other customers', 'Loyalty program']",1,3,4,2,5,6,8,7,"['Difficult to talk to others in the taproom', 'Poor customer service', 'No food']","['Good music playing', 'Joining a game', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Outdoor seating', 'Live music', 'Happy hour specials']",To socialize with friends/family,Important – I prefer a familiar experience,4,3,3,4,3,1,"Yes, I value community-focused experiences",Offer a wider selection of craft beers,Yes; I have attended before,"['Variety of performers', 'Quality of live music performances', 'Atmosphere and venue ambiance']",Moderately Important,Most of the time,Likely,"['Cold Bites', 'Sweets', 'Pre-packaged Snacks']",Maybe,No,A little,Very interested,Wait time estimates for busy periods,Summer Tourists,Good,,,
Male,Yes,35,At least once a week,More than 30 minutes away,3,4,4,4,"['Pool table', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,2,3,4,5,6,7,8,"['Poor customer service', 'No music']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Group activities to do with others present']","['Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials']",To attend special events,Not important – I prefer a unique experience each time,5,3,3,4,4,1,"No, I attend for other reasons",Extend happy hour specials,Yes; I have attended before,"['Convenience of timing', 'Convenience of location']",Not at all important,Most of the time,Very Likely,"['Pre-packaged Snacks', 'Sweets']",Yes,Yes,A moderate amount,Very interested,Local transportation options and directions,Craft Beer Enthusiasts,Good,,,Somewhat satisfied
Male,Yes,33,At least once a month,Between 10 and 30 minutes,4,4,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Friendly staff', 'Easy to socialize with other customers', 'Easy to network with other professionals']",1,2,4,3,5,6,7,8,"['Poor customer service', 'No rewards program']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Outdoor seating', 'Live music']",To relax and unwind,Not important – I prefer a unique experience each time,4,4,3,4,4,1,"Maybe, if the event aligns with my interests",Extend happy hour specials,Yes; I have attended before,,Very Important,Most of the time,Unlikely,"['Pre-packaged Snacks', 'Sweets']",Maybe,Yes,A lot,Moderately interested,Personalized beer recommendations based on my taste preferences,Young Professionals,Poor,"['Inconvenient timing', 'High cover charge', 'Long wait times for orders']",,Hated it
Male,Yes,34,At least once a month,Between 10 and 30 minutes,3,3,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Easy to network with other professionals']",1,2,3,4,7,5,6,8,"['No rewards program', 'No music', 'No food']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Outdoor seating', 'Live music', 'Happy hour specials', 'Large TV screens for sports games']",To socialize with friends/family,Not important – I prefer a unique experience each time,4,3,2,4,4,1,"Maybe, if the event aligns with my interests",Improve the quality of food offerings,Yes; I have attended before,"['Quality of live music performances', 'High quality of food', 'Special promotions or discounts during the event', 'Convenience of location']",Moderately Important,Most of the time,Very Likely,"['Sweets', 'Cold Bites', 'Pre-packaged Snacks']",Maybe,No,A little,Moderately interested,Wait time estimates for busy periods,Affluent Locals,Good,,,
Female,Yes,74,At least once a month,Between 10 and 30 minutes,3,3,3,3,"['Friendly staff', 'Loyalty program', 'Easy to network with other professionals']",1,3,4,2,6,8,5,7,"['Poor customer service', 'No music', 'No food']","['Good music playing', 'Joining a game', 'Playing competitive trivia']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Happy hour specials']",To socialize with friends/family,Somewhat important – I like a balance of new and familiar elements,3,2,4,3,3,2,"Yes, I value community-focused experiences",Have more frequent events or special nights,Yes; I have attended before,"['Variety of performers', 'Variety of performers', 'Being a fan of the band or specific artists performing', 'Variety of performers']",Very Important,Sometimes,Very Likely,"['Cold Bites', 'Pre-packaged Snacks', 'Sweets', 'Warm-prepared Snacks']",Yes,No,A great deal,Moderately interested,Information about seasonal or limited edition brews,Retirees,Good,,,
Male,Yes,46,At least once a year,More than 30 minutes away,4,3,3,4,"['Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,4,2,3,5,6,8,7,[],"['Good music playing', 'Joining a game', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Outdoor seating', 'Live music']",To socialize with friends/family,Not important – I prefer a unique experience each time,4,4,4,4,4,1,"Yes, I value community-focused experiences",Have more frequent events or special nights,"No, I'm not interested.",,Very Important,Most of the time,Likely,"['Sweets', 'Cold Bites']",Maybe,No,A lot,Very interested,Information about upcoming events and special releases,Summer Tourists,,,"['Scheduling conflicts', 'Inconvenient location']",
Male,Yes,57,At least once a month,More than 30 minutes away,3,3,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Easy to socialize with other customers', 'Loyalty program']",1,3,2,4,5,6,7,8,"['Not having someone to go with', 'No rewards program', 'No music']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Playing competitive trivia']","['Friendliness of staff', 'Games available', 'Outdoor seating', 'Happy hour specials']",To socialize with friends/family,Somewhat important – I like a balance of new and familiar elements,4,3,3,4,3,2,"Maybe, if the event aligns with my interests",Offer a wider selection of craft beers,"Yes, I haven't attended yet but I'm interested.","['Convenience of timing', 'Quality of live music performances', 'High quality of drinks', 'Social experience and opportunity to meet new people']",Moderately Important,Most of the time,Likely,['Warm-prepared Snacks'],Yes,No,A lot,Moderately interested,History and background of the brewery,Affluent Locals,,,,
Male,Yes,43,At least once a year,More than 30 minutes away,4,3,3,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,4,3,2,5,6,7,8,"['No rewards program', 'No music']","['Good music playing', 'Playing competitive trivia']","['Friendliness of staff', 'Games available', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials']",To meet new people,Not important – I prefer a unique experience each time,4,3,3,4,4,1,"Maybe, if the event aligns with my interests",Have friendlier staff and better service,Yes; I have attended before,,Moderately Important,Sometimes,Neutral,"['Sweets', 'Cold Bites']",Maybe,No,A little,Very interested,Personalized beer recommendations based on my taste preferences,Summer Tourists,Poor,"['Inconvenient timing', 'Limited food options']",,
Female,Yes,85,At least once a month,Between 10 and 30 minutes,3,3,3,3,"['Loyalty program', 'Easy to network with other professionals']",1,3,4,2,5,7,6,8,['Not having someone to go with'],"['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Happy hour specials']",To meet new people,Somewhat important – I like a balance of new and familiar elements,2,3,4,3,2,2,"Yes, I value community-focused experiences",Add more games or activities,"No, I'm not interested.",,Very Important,Rarely,Unlikely,['Cold Bites'],Maybe,No,A lot,Slightly interested,Wait time estimates for busy periods,Retirees,,,['Preference for a quieter atmosphere at breweries'],
Female,Yes,64,At least once a month,Between 10 and 30 minutes,3,3,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to network with other professionals']",1,2,3,4,5,6,7,8,"['Difficult to talk to others in the taproom', 'Poor customer service', 'No music', 'No food']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials', 'Large TV screens for sports games']",To meet new people,Important – I prefer a familiar experience,3,3,2,3,3,1,"Yes, I value community-focused experiences",Create a quieter environment for conversation,Yes; I have attended before,"['High quality of food', 'Quality of live music performances', 'High quality of drinks', 'Convenience of timing', 'Social experience and opportunity to meet new people']",Slightly important,Sometimes,Neutral,['Warm-prepared Snacks'],Yes,No,A lot,Extremely interested,History and background of the brewery,Affluent Locals,Excellent,,,
Female,Yes,36,At least once a month,More than 30 minutes away,4,3,4,4,"['Pool table', 'Card games', 'Darts', 'Friendly staff', 'Easy to socialize with other customers']",1,3,2,4,5,6,7,8,"['Not having someone to go with', 'Poor customer service', 'No rewards program']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials']",To attend special events,Not important – I prefer a unique experience each time,4,4,2,4,5,1,"No, I attend for other reasons",Offer a wider selection of craft beers,Yes; I have attended before,,Slightly important,Most of the time,Neutral,"['Pre-packaged Snacks', 'Sweets']",Maybe,No,Not at all,Moderately interested,Wait time estimates for busy periods,Young Professionals,Poor,['Uncomfortable venue atmosphere'],,
Female,Yes,32,At least once a week,Less than 10 minutes away,4,4,4,4,"['Card games', 'Karaoke available', 'Darts', 'Friendly staff']",1,2,3,4,6,5,7,8,"['Poor customer service', 'No rewards program', 'No music']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Happy hour specials']",To try new and unique craft beers,Not important – I prefer a unique experience each time,4,3,2,4,4,1,"Maybe, if the event aligns with my interests",Improve the quality of food offerings,"Yes, I haven't attended yet but I'm interested.","['Quality of live music performances', 'High quality of food', 'Social experience and opportunity to meet new people', 'Variety of performers']",Extremely Important,Most of the time,Very Likely,"['Sweets', 'Warm-prepared Snacks']",Yes,Yes,A great deal,Extremely interested,Beer pairing suggestions for food items,Young Professionals,,,,Neutral
Male,Yes,27,At least once a month,More than 30 minutes away,3,3,3,3,"['Card games', 'Karaoke available', 'Darts', 'Easy to socialize with other customers', 'Loyalty program']",1,3,2,4,5,7,6,8,"['Difficult to talk to others in the taproom', 'Poor customer service']","['Being introduced by someone else', 'Friendliness of staff', 'Group activities to do with others present']","['Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials']",To try new and unique craft beers,Not important – I prefer a unique experience each time,3,4,2,3,3,2,"Yes, I value community-focused experiences",Have friendlier staff and better service,"Yes, I haven't attended yet but I'm interested.","['Social experience and opportunity to meet new people', 'Being a fan of the band or specific artists performing', 'Variety of performers']",Moderately Important,Rarely,Neutral,"['Warm-prepared Snacks', 'Pre-packaged Snacks', 'Cold Bites']",Maybe,Yes,A great deal,Moderately interested,Updates on specials or happy hours,Day Trippers,,,,Very satisfied
Female,Yes,40,At least once a year,Between 10 and 30 minutes,4,3,3,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Easy to socialize with other customers', 'Loyalty program']",1,3,2,4,5,6,8,7,[],"['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To socialize with friends/family,Important – I prefer a familiar experience,4,4,3,4,4,1,"Maybe, if the event aligns with my interests",Provide comfortable seating and atmosphere,"No, I'm not interested.",,Very Important,Sometimes,Very Likely,['Warm-prepared Snacks'],Yes,Yes,A great deal,Extremely interested,Personalized beer recommendations based on my taste preferences,Summer Tourists,,,['Inconvenient location'],Somewhat satisfied
Female,Yes,65,At least once a year,More than 30 minutes away,4,3,3,4,"['Card games', 'Friendly staff', 'Easy to network with other professionals']",1,2,4,3,5,6,8,7,"['No music', 'No food']","['Being introduced by someone else', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Variety of food options', 'Outdoor seating', 'Live music']",To relax and unwind,Important – I prefer a familiar experience,4,3,4,4,3,2,"Yes, I value community-focused experiences",Have live music more often,"Yes, I haven't attended yet but I'm interested.","['High quality of food', 'Social experience and opportunity to meet new people', 'Variety of performers', 'Variety of performers', 'Atmosphere and venue ambiance']",Extremely Important,Rarely,Unlikely,"['Sweets', 'Pre-packaged Snacks']",Maybe,No,A little,Moderately interested,Ability to reserve tables or event tickets,Summer Tourists,,,,
Female,Yes,78,At least once a year,Less than 10 minutes away,3,3,3,3,"['Loyalty program', 'Easy to network with other professionals']",1,6,2,3,4,7,8,5,"['No rewards program', 'No music']","['Being introduced by someone else', 'Playing competitive trivia', 'Friendliness of staff']","['Friendliness of staff', 'Easy to socialize with others', 'Live music', 'Happy hour specials']",To relax and unwind,Not important – I prefer a unique experience each time,3,3,3,2,2,3,"Maybe, if the event aligns with my interests",Improve the quality of food offerings,Yes; I have attended before,"['High quality of food', 'Being a fan of the band or specific artists performing', 'High quality of drinks', 'High quality of food', 'Variety of performers']",Very Important,Rarely,Neutral,"['Cold Bites', 'Sweets', 'Pre-packaged Snacks']",Maybe,No,Not at all,Moderately interested,Wait time estimates for busy periods,Retirees,Good,,,
Male,Yes,25,At least once a week,More than 30 minutes away,4,3,3,4,"['Card games', 'Darts', 'Easy to socialize with other customers', 'Loyalty program']",2,1,4,3,5,6,8,7,[],"['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Happy hour specials']",To try new and unique craft beers,Somewhat important – I like a balance of new and familiar elements,4,4,4,4,4,1,"No, I attend for other reasons",Offer a wider selection of craft beers,Yes; I have attended before,,Very Important,Sometimes,Likely,"['Pre-packaged Snacks', 'Sweets']",No,Yes,A lot,Very interested,Personalized beer recommendations based on my taste preferences,Summer Tourists,Poor,"['High cover charge', 'Poor sound quality']",,Somewhat satisfied
Male,Yes,37,At least once a month,Between 10 and 30 minutes,3,4,4,4,"['Pool table', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers']",1,2,3,4,6,5,8,7,"['Not having someone to go with', 'Poor customer service', 'No music']","['Joining a game', 'Playing competitive trivia', 'Friendliness of staff']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials']",To try new and unique craft beers,Important – I prefer a familiar experience,4,3,3,4,4,2,"Yes, I value community-focused experiences",Add more games or activities,"Yes, I haven't attended yet but I'm interested.","['Atmosphere and venue ambiance', 'High quality of food', 'Variety of performers', 'High quality of food']",Extremely Important,Never,Unlikely,['Warm-prepared Snacks'],No,No,A lot,Slightly interested,Information about upcoming events and special releases,Affluent Locals,,,,
Male,Yes,79,At least once a month,More than 30 minutes away,3,3,3,3,"['Loyalty program', 'Easy to network with other professionals']",1,3,5,2,4,7,8,6,"['Poor customer service', 'No rewards program', 'No food']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Live music', 'Happy hour specials']",To try new and unique craft beers,Somewhat important – I like a balance of new and familiar elements,3,3,4,3,3,2,"Yes, I value community-focused experiences",Improve the quality of food offerings,Yes; I have attended before,"['Variety of performers', 'Being a fan of the band or specific artists performing', 'Convenience of location', 'Atmosphere and venue ambiance']",Slightly important,Rarely,Likely,"['Pre-packaged Snacks', 'Warm-prepared Snacks', 'Cold Bites', 'Sweets']",Yes,No,Not at all,Moderately interested,History and background of the brewery,Retirees,Excellent,,,
Female,Yes,65,At least once a week,Less than 10 minutes away,3,4,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Loyalty program', 'Easy to network with other professionals']",2,1,3,4,5,6,7,8,"['Poor customer service', 'No rewards program']","['Good music playing', 'Joining a game', 'Playing competitive trivia']","['Games available', 'Outdoor seating', 'Live music']",To try new and unique craft beers,Somewhat important – I like a balance of new and familiar elements,3,3,3,4,4,1,"Yes, I value community-focused experiences",Have live music more often,Yes; I have attended before,"['High quality of drinks', 'Quality of live music performances', 'Convenience of timing', 'Being a fan of the band or specific artists performing']",Extremely Important,Everytime,Likely,"['Pre-packaged Snacks', 'Sweets', 'Cold Bites']",Maybe,No,A great deal,Very interested,Updates on specials or happy hours,Affluent Locals,Excellent,,,
Female,Yes,67,At least once a month,Less than 10 minutes away,3,3,3,3,"['Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,5,3,2,4,8,6,7,"['Difficult to talk to others in the taproom', 'Poor customer service']","['Good music playing', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Happy hour specials']",To relax and unwind,Important – I prefer a familiar experience,3,3,4,3,3,2,"No, I attend for other reasons",Offer loyalty rewards for frequent customers,"No, I'm not interested.",,Slightly important,Sometimes,Likely,"['Pre-packaged Snacks', 'Cold Bites']",Yes,No,A lot,Not interested,Ability to reserve tables or event tickets,Retirees,,,"['Poor past experiences with similar events', 'Unfamiliarity with the performers or event lineup']",
Non-binary or other gender,Yes,27,At least once a year,Less than 10 minutes away,4,3,3,4,"['Pool table', 'Karaoke available', 'Darts', 'Easy to socialize with other customers', 'Easy to network with other professionals']",1,3,2,4,5,6,8,7,"['Difficult to talk to others in the taproom', 'No food']","['Good music playing', 'Joining a game', 'Playing competitive trivia']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating']",To attend special events,Not important – I prefer a unique experience each time,3,4,3,3,4,1,"Maybe, if the event aligns with my interests",Create a quieter environment for conversation,Yes; I have attended before,,Very Important,Sometimes,Very Likely,"['Sweets', 'Warm-prepared Snacks', 'Pre-packaged Snacks']",Maybe,No,A great deal,Moderately interested,Local transportation options and directions,Summer Tourists,Very Poor,['High cover charge'],,
Female,Yes,76,At least once a month,Less than 10 minutes away,3,3,3,3,"['Friendly staff', 'Easy to network with other professionals']",1,5,3,2,4,6,8,7,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'No music', 'No food']","['Good music playing', 'Playing competitive trivia', 'Friendliness of staff']","['Live music', 'Happy hour specials']",To try new and unique craft beers,Not important – I prefer a unique experience each time,3,2,3,3,2,2,"Yes, I value community-focused experiences",Have more frequent events or special nights,"No, I'm not interested.",,Moderately Important,Everytime,Neutral,"['Sweets', 'Cold Bites', 'Pre-packaged Snacks']",No,No,A great deal,Slightly interested,Information about seasonal or limited edition brews,Retirees,,,"['Unfamiliarity with the performers or event lineup', 'Limited transportation']",
Male,Yes,32,At least once a month,Between 10 and 30 minutes,4,3,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,4,2,3,6,5,8,7,"['Difficult to talk to others in the taproom', 'Poor customer service']","['Good music playing', 'Joining a game', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Easy to socialize with others', 'Outdoor seating', 'Live music', 'Happy hour specials', 'Large TV screens for sports games']",To try new and unique craft beers,Not important – I prefer a unique experience each time,4,4,3,4,4,1,"Yes, I value community-focused experiences",Have friendlier staff and better service,Yes; I have attended before,,Very Important,Sometimes,Unlikely,"['Sweets', 'Cold Bites', 'Warm-prepared Snacks', 'Pre-packaged Snacks']",Maybe,No,A great deal,Moderately interested,Answers to questions about brewing processes and ingredients,Young Professionals,Poor,"['Poor event organization', 'High cover charge']",,
Male,Yes,65,At least once a month,Less than 10 minutes away,4,3,3,4,"['Pool table', 'Card games', 'Darts', 'Friendly staff', 'Easy to socialize with other customers']",1,3,4,2,5,8,7,6,"['No rewards program', 'No music', 'No food']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To meet new people,Important – I prefer a familiar experience,4,4,4,4,4,1,"Yes, I value community-focused experiences",Improve the quality of food offerings,Yes; I have attended before,"['High quality of food', 'High quality of food', 'Being a fan of the band or specific artists performing', 'Being a fan of the band or specific artists performing']",Slightly important,Most of the time,Very Unlikely,"['Sweets', 'Warm-prepared Snacks', 'Cold Bites']",Yes,Yes,A great deal,Very interested,Beer pairing suggestions for food items,Summer Tourists,Excellent,,,Somewhat satisfied
Male,Yes,47,At least once a week,Between 10 and 30 minutes,3,4,4,4,"['Pool table', 'Karaoke available', 'Darts', 'Friendly staff', 'Loyalty program']",1,2,3,4,7,5,6,8,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'Poor customer service', 'No food']","['Good music playing', 'Joining a game', 'Group activities to do with others present']","['Friendliness of staff', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Happy hour specials']",To try new and unique craft beers,Somewhat important – I like a balance of new and familiar elements,4,3,3,4,5,1,"Maybe, if the event aligns with my interests",Provide comfortable seating and atmosphere,"Yes, I haven't attended yet but I'm interested.","['Atmosphere and venue ambiance', 'Being a fan of the band or specific artists performing', 'Being a fan of the band or specific artists performing']",Not at all important,Never,Unlikely,"['Sweets', 'Pre-packaged Snacks']",No,No,A great deal,Moderately interested,History and background of the brewery,Craft Beer Enthusiasts,,,,
Male,Yes,24,At least once a year,More than 30 minutes away,3,3,3,3,"['Pool table', 'Card games', 'Darts', 'Friendly staff', 'Loyalty program', 'Easy to network with other professionals']",1,2,3,5,4,7,8,6,['No music'],"['Being introduced by someone else', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To relax and unwind,Not important – I prefer a unique experience each time,3,3,3,3,3,2,"Maybe, if the event aligns with my interests",Provide comfortable seating and atmosphere,Yes; I have attended before,"['Quality of live music performances', 'Variety of performers', 'Special promotions or discounts during the event', 'Atmosphere and venue ambiance']",Moderately Important,Sometimes,Unlikely,"['Pre-packaged Snacks', 'Cold Bites']",Maybe,No,A lot,Moderately interested,Ability to reserve tables or event tickets,Day Trippers,Good,,,
Male,Yes,45,At least once a month,Between 10 and 30 minutes,4,4,3,3,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",3,4,1,2,7,5,8,6,"['Poor customer service', 'No food']","['Joining a game', 'Group activities to do with others present']","['Games available', 'Easy to socialize with others', 'Happy hour specials']",To relax and unwind,Important – I prefer a familiar experience,3,4,4,3,2,3,"Yes, I value community-focused experiences",Extend happy hour specials,Yes; I have attended before,"['High quality of drinks', 'High quality of food', 'Quality of live music performances', 'Social experience and opportunity to meet new people']",Extremely Important,Everytime,Unlikely,"['Sweets', 'Cold Bites', 'Pre-packaged Snacks', 'Warm-prepared Snacks']",No,No,A little,Slightly interested,Local transportation options and directions,Event Attendees,Good,,,
Female,Yes,57,At least once a year,More than 30 minutes away,3,3,3,3,"['Card games', 'Darts', 'Friendly staff', 'Easy to socialize with other customers']",2,3,1,4,5,6,7,8,"['Poor customer service', 'No rewards program']",['Friendliness of staff'],"['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Outdoor seating', 'Happy hour specials']",To attend special events,Important – I prefer a familiar experience,4,3,3,3,3,2,"Yes, I value community-focused experiences",Have friendlier staff and better service,Yes; I have attended before,"['Being a fan of the band or specific artists performing', 'Being a fan of the band or specific artists performing', 'Atmosphere and venue ambiance']",Very Important,Sometimes,Likely,"['Cold Bites', 'Pre-packaged Snacks', 'Warm-prepared Snacks', 'Sweets']",Yes,No,Not at all,Not interested,History and background of the brewery,Day Trippers,Good,,,
Male,Yes,29,At least once a month,More than 30 minutes away,4,4,4,4,"['Card games', 'Darts', 'Loyalty program', 'Easy to network with other professionals']",1,2,3,4,5,6,8,7,['Difficult to talk to others in the taproom'],"['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Friendliness of staff']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To attend special events,Not important – I prefer a unique experience each time,4,4,3,4,4,1,"Maybe, if the event aligns with my interests",Add more games or activities,Yes; I have attended before,,Moderately Important,Most of the time,Likely,"['Warm-prepared Snacks', 'Sweets']",Yes,No,A lot,Moderately interested,History and background of the brewery,Young Professionals,Very Poor,"['Poor sound quality', 'Inconvenient timing']",,
Female,Yes,56,At least once a month,Less than 10 minutes away,3,3,4,4,"['Pool table', 'Card games', 'Friendly staff', 'Easy to socialize with other customers']",1,3,2,4,5,6,7,8,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'Poor customer service', 'No rewards program', 'No food']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Variety of food options', 'Live music', 'Happy hour specials']",To try new and unique craft beers,Somewhat important – I like a balance of new and familiar elements,3,3,3,4,4,1,"Yes, I value community-focused experiences",Have friendlier staff and better service,"Yes, I haven't attended yet but I'm interested.","['Social experience and opportunity to meet new people', 'Social experience and opportunity to meet new people', 'Special promotions or discounts during the event']",Moderately Important,Never,Neutral,"['Cold Bites', 'Warm-prepared Snacks', 'Pre-packaged Snacks']",Maybe,No,A moderate amount,Moderately interested,Answers to questions about brewing processes and ingredients,Affluent Locals,,,,
Male,Yes,29,At least once a week,Between 10 and 30 minutes,4,4,4,4,"['Pool table', 'Card games', 'Darts', 'Friendly staff']",1,3,2,4,6,5,7,8,['Difficult to talk to others in the taproom'],"['Good music playing', 'Playing competitive trivia', 'Group activities to do with others present']","['Friendliness of staff', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Happy hour specials']",To relax and unwind,Important – I prefer a familiar experience,4,4,3,4,4,1,"Maybe, if the event aligns with my interests",Have live music more often,"Yes, I haven't attended yet but I'm interested.","['Atmosphere and venue ambiance', 'Social experience and opportunity to meet new people', 'Variety of performers']",Moderately Important,Never,Likely,"['Cold Bites', 'Warm-prepared Snacks']",Maybe,No,A lot,Very interested,History and background of the brewery,Young Professionals,,,,
